feature_name,feature_coef
frequentdomainnamemismatch,3.24376699225498
insecureforms,3.237690269380634
numsensitivewords,1.794138119750493
numdashinhostname,1.67115397673242
extfavicon,1.571164654257073
missingtitle,1.1157817725488075
urllengthrt,0.9669654661126149
extmetascriptlinkrt,0.7698549743273142
numdots,0.7455683700802738
hostnamelength,0.6540294212087501
pctnullselfredirecthyperlinks,0.6304109920876262
abnormalextformactionr,0.6133991666883977
querylength,0.607861081208454
pathlength,0.5906608638984787
numampersand,0.5598137120872805
ipaddress,0.45904211273846846
tildesymbol,0.44024069156332474
pathlevel,0.300037139732753
pctextresourceurlsrt,0.25080487119852923
domaininsubdomains,0.2507100000211462
numhash,0.1542042245546328
rightclickdisabled,0.08537251268326515
numnumericchars,0.04136497223849572
doubleslashinpath,0.02185721181939414
httpsinhostname,0.0
imagesonlyinform,-0.006461653479563972
atsymbol,-0.04321002246857378
numunderscore,-0.04868015987507127
embeddedbrandname,-0.07766211101075535
popupwindow,-0.09050262526311906
fakelinkinstatusbar,-0.15793081083022406
relativeformaction,-0.18177414002257083
abnormalformaction,-0.4095159485957124
randomstring,-0.4554803553255834
subdomainlevelrt,-0.4921522252399992
numdash,-0.5281633602588669
urllength,-0.5629573668060969
extformaction,-0.5779794310187285
pctextresourceurls,-0.6512809899594576
domaininpaths,-0.8068408297226626
numpercent,-1.0150185562798129
pctexthyperlinks,-1.0340650656026538
nohttps,-1.0684661102228536
numquerycomponents,-1.2607269710090885
subdomainlevel,-1.5242835695481374
pctextnullselfredirecthyperlinksrt,-1.5811373715978467
iframeorframe,-2.3109605757638527
submitinfotoemail,-2.9127144309557655
