feature_name,feature_importances
pctextnullselfredirecthyperlinksrt,0.1685382901022459
pctexthyperlinks,0.15338204605576167
frequentdomainnamemismatch,0.1168534388491989
pctextresourceurls,0.08201180710594849
numdash,0.07273456617624952
pctnullselfredirecthyperlinks,0.06879437257174918
submitinfotoemail,0.05196431273763798
extmetascriptlinkrt,0.047579356395922416
numnumericchars,0.04363462312590502
insecureforms,0.03847595104037884
numdots,0.025636713061612647
pathlevel,0.022938883209979194
numsensitivewords,0.02094722976134064
iframeorframe,0.0155939698047524
numquerycomponents,0.015349553731786076
querylength,0.013001316057029456
pathlength,0.005605226357161403
abnormalextformactionr,0.00560235911271375
urllength,0.005456501649368274
pctextresourceurlsrt,0.0037238193743605453
numampersand,0.0035245285878014597
hostnamelength,0.003392546270728125
urllengthrt,0.0032512848886314043
numdashinhostname,0.002537631849236232
embeddedbrandname,0.0021516556716915662
abnormalformaction,0.001316176492699702
ipaddress,0.0012747489420432713
relativeformaction,0.0008590650971756008
missingtitle,0.0007001473563631196
domaininpaths,0.0004811807009406889
domaininsubdomains,0.00043356983739551856
nohttps,0.00043198155619425895
subdomainlevel,0.00038822609472539244
numunderscore,0.00037149484466291794
rightclickdisabled,0.00021090980892989302
subdomainlevelrt,0.0001889245530375842
numpercent,0.00016464542512839496
extformaction,0.00014569270122913712
popupwindow,0.00012036691949632746
tildesymbol,0.00011242770092115305
randomstring,5.031131072779333e-05
extfavicon,4.893324588609956e-05
numhash,1.9213863252025364e-05
fakelinkinstatusbar,0.0
httpsinhostname,0.0
atsymbol,0.0
imagesonlyinform,0.0
doubleslashinpath,0.0
