id,numdots,subdomainlevel,pathlevel,urllength,numdash,numdashinhostname,atsymbol,tildesymbol,numunderscore,numpercent,numquerycomponents,numampersand,numhash,numnumericchars,nohttps,randomstring,ipaddress,domaininsubdomains,domaininpaths,httpsinhostname,hostnamelength,pathlength,querylength,doubleslashinpath,numsensitivewords,embeddedbrandname,pctexthyperlinks,pctextresourceurls,extfavicon,insecureforms,relativeformaction,extformaction,abnormalformaction,pctnullselfredirecthyperlinks,frequentdomainnamemismatch,fakelinkinstatusbar,rightclickdisabled,popupwindow,submitinfotoemail,iframeorframe,missingtitle,imagesonlyinform,subdomainlevelrt,urllengthrt,pctextresourceurlsrt,abnormalextformactionr,extmetascriptlinkrt,pctextnullselfredirecthyperlinksrt,class_label,predicted
4948,2,1,2,32,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,9,0,0,0,0,0.0,0.08,0,1,1,0,1,0.95890411,0,0,0,0,0,1,0,0,1,1,1,-1,1,-1,1,0
3338,2,1,9,152,15,0,0,1,0,0,0,0,0,27,1,1,0,0,1,0,16,129,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1,0
252,2,0,2,128,1,0,0,0,7,0,2,2,0,7,1,1,0,0,0,0,14,19,87,0,0,0,0.0,0.333333333,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,1,0
1514,2,1,5,54,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,27,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
9656,2,1,3,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,12,0,0,0,0,0.043478261,0.117647059,0,1,0,0,0,0.014492754,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
1316,4,2,4,63,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,26,30,0,0,0,0,1.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,1,0,0,1,0,-1,0,-1,-1,1,0
2928,2,1,2,36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,7,0,0,0,0,0.0,0.083333333,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
5360,1,0,5,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,49,0,0,0,0,0.233333333,0.235294118,1,1,1,0,0,0.033333333,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
3788,4,1,2,79,2,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,28,36,7,0,0,0,0.2,0.0,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,1,-1,1,1,0,1,1,0
8792,1,0,3,51,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,31,0,0,0,0,0.016759777,0.058823529,0,1,0,0,0,0.05027933,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
8447,1,0,5,43,2,1,0,0,0,0,0,0,0,8,1,1,0,0,0,0,14,22,0,0,0,0,0.425,0.531914894,0,1,0,0,0,0.025,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
8966,3,0,2,59,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,15,13,23,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
2909,3,1,3,80,1,0,0,0,0,4,0,0,0,8,1,1,0,0,1,0,19,54,0,0,0,0,0.0,0.071428571,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1,0
5199,3,1,3,60,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,0,12,41,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
3791,4,1,2,79,2,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,28,36,7,0,0,0,0.2,0.0,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,1,-1,1,1,0,1,1,0
1374,1,0,2,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,12,0,0,0,0,0.0,0.153846154,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
3071,2,1,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,8,0,0,0,0,0.0,0.2,1,1,1,0,1,0.0,0,0,0,0,0,0,0,1,1,1,1,-1,0,1,1,0
3016,2,1,4,86,0,0,0,0,0,0,0,4,0,5,1,1,0,0,1,0,18,61,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,1,1,1,1,1,0
7822,3,1,2,64,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,38,0,0,0,0,0.196721312,0.058823529,0,1,0,0,0,0.131147541,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
3394,11,9,2,95,0,0,0,0,0,0,0,0,0,5,1,1,0,1,1,0,72,16,0,0,0,0,1.0,0.095238095,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,-1,-1,1,1,1,-1,1,0
5560,2,1,9,120,1,0,0,0,0,0,0,0,0,35,1,1,0,0,1,0,18,95,0,0,0,0,0.061111111,1.0,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,0,1
8869,3,1,3,55,1,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,36,12,0,0,0,0,0.009174312,0.8,0,1,0,0,0,0.009174312,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
5460,2,0,3,70,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,21,28,13,0,0,0,0.160839161,0.222222222,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
8721,2,0,5,54,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,8,39,0,0,0,0,0.289156627,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
4338,3,0,5,88,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,65,0,0,0,0,0.142857143,1.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,1,0
8311,2,0,1,38,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,20,11,0,0,0,0,0.024390244,0.054054054,0,1,1,1,0,0.048780488,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
8945,1,0,4,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,19,0,0,0,0,0.02764977,0.125,0,1,0,0,0,0.00921659,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
484,1,0,5,78,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,20,51,0,0,0,0,0.202380952,1.0,0,1,0,0,0,0.011904762,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,1,0
9697,2,1,3,48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,24,0,0,0,0,0.016666667,0.134146342,0,1,0,0,0,0.0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1
5171,5,0,2,165,1,1,0,0,5,5,4,3,0,15,1,0,0,0,1,0,18,17,122,0,1,0,0.142857143,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0,1
7421,1,0,4,63,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,22,0,0,0,0,0.011904762,0.0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
1786,2,0,3,49,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,14,24,3,0,0,0,0.0,0.642857143,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,-1,1,0,1,1,0
4505,3,1,5,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,36,0,0,0,0,0.0,0.333333333,1,1,0,0,0,0.0,0,0,0,0,0,1,0,1,1,0,1,1,-1,1,1,0
9973,3,1,3,47,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,15,25,0,0,0,0,0.037593985,0.018867925,0,1,0,0,0,0.045112782,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
8934,1,0,3,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,22,0,0,0,0,0.044871795,0.161290323,0,1,0,0,0,0.006410256,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
6061,3,0,6,66,1,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,17,42,0,0,0,0,0.075471698,0.036363636,0,1,0,1,0,0.056603774,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
6651,1,0,4,73,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,52,0,0,0,0,0.481132076,0.875,0,1,0,0,0,0.018867925,1,0,0,0,0,1,0,0,1,0,-1,1,0,0,0,1
9861,3,1,2,53,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,17,21,7,0,0,0,0.065573771,0.042492918,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
4140,1,0,3,42,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,24,0,0,0,0,0.054545455,0.695652174,0,1,0,0,0,0.145454546,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,1,0
1865,2,0,2,135,1,0,0,0,7,0,2,2,0,4,1,0,0,0,0,0,14,18,95,0,0,0,0.0,0.333333333,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1,1,0
3465,2,1,3,43,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,18,18,0,0,0,0,0.0,0.0625,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0
9516,3,1,2,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,24,0,0,0,0,0.0,1.0,1,1,1,0,1,0.074074074,1,0,0,0,0,0,0,0,1,1,-1,-1,-1,1,0,1
2146,2,0,3,42,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,22,0,0,0,0,0.135135135,1.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,-1,1,-1,1,1,0
5222,3,1,1,68,3,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,32,10,18,0,0,0,0.033057851,0.142857143,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
9874,2,1,5,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,30,0,0,0,0,0.005319149,0.1,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
1079,2,0,3,84,0,0,0,0,0,0,1,0,0,21,1,1,0,0,0,0,19,44,13,0,0,0,0.0,0.625,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,1,1,0
8342,2,0,2,48,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,21,20,0,0,0,0,0.063492064,0.08,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1
4124,1,0,7,90,3,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,19,64,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1,0
3252,2,1,4,97,0,0,0,0,0,0,0,4,0,7,1,1,0,0,1,0,27,63,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,1,1,1,1,1,0
743,3,0,5,231,11,0,0,0,3,0,5,3,0,25,1,0,0,0,1,0,16,112,95,0,0,0,0.5,0.9375,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,-1,-1,1,-1,0,1,0
8619,2,0,3,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,12,0,0,0,0,0.058295964,0.157894737,0,1,0,0,0,0.02690583,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
2615,4,2,3,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,26,0,0,0,0,1.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,1,0,0,1,1,-1,0,-1,-1,1,0
8973,4,0,3,59,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,11,41,0,0,0,0,0.075949367,0.023809524,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
9064,3,2,2,43,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,24,12,0,0,0,0,0.0,0.083333333,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
5649,5,2,4,146,0,0,0,0,7,0,1,0,0,0,1,1,0,1,1,0,16,33,89,0,0,0,0.676470588,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,0,1
6217,4,0,4,70,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,17,46,0,0,0,1,0.100609756,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
8361,2,1,3,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,18,0,0,0,0,0.545454546,0.125,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
1181,2,0,5,82,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,12,46,16,0,0,0,0.0,0.882352941,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,1,1,0
8704,1,0,4,40,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,21,12,0,0,0,0,0.475687104,0.52173913,0,1,0,1,0,0.002114165,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,1
4880,4,2,2,71,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,22,16,25,0,1,0,0.0,0.263157895,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0
564,2,0,5,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11,35,0,1,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
7709,2,0,5,64,1,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,24,33,0,0,0,0,0.263157895,0.32,0,1,0,0,0,0.157894737,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
9496,3,1,1,47,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,15,13,11,0,0,0,0.375,0.071428571,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
1255,2,0,4,58,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,17,34,0,0,0,0,0.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,0,-1,1,1,0
