feature_name,feature_importances
pctexthyperlinks,0.18519533105079447
pctextnullselfredirecthyperlinksrt,0.1567551358443416
frequentdomainnamemismatch,0.11004545700672907
pctextresourceurls,0.08491164377915217
numdash,0.07828856082432833
pctnullselfredirecthyperlinks,0.06991739092842797
submitinfotoemail,0.06081110702709465
extmetascriptlinkrt,0.04232720730562254
numnumericchars,0.039883168036977765
insecureforms,0.032933205290611736
numdots,0.027417884203789534
numsensitivewords,0.02087663315024208
pathlevel,0.01709582297779334
numquerycomponents,0.015061024648225457
querylength,0.013511508198721997
iframeorframe,0.01171592766224706
pathlength,0.005099300972015826
urllength,0.0041157464169653555
numampersand,0.0038481475633691717
abnormalextformactionr,0.002409388008464238
numdashinhostname,0.002353490413937214
hostnamelength,0.001993436412178081
embeddedbrandname,0.001704166934411854
ipaddress,0.001457273559815249
pctextresourceurlsrt,0.0014003433710627479
abnormalformaction,0.0012074510732637477
urllengthrt,0.0011876279671412587
subdomainlevel,0.000853485305992311
domaininsubdomains,0.0007439665502348718
domaininpaths,0.0006773478438722339
extfavicon,0.000673799312892304
subdomainlevelrt,0.0006668667311735569
missingtitle,0.000580772928801508
rightclickdisabled,0.00045823650253379344
numunderscore,0.0004190270962161053
numpercent,0.0003198436737980358
nohttps,0.0002669355680501465
relativeformaction,0.0002595925125505602
tildesymbol,0.00024076768678299844
extformaction,0.0001978678689091783
popupwindow,5.0967572461194417e-05
randomstring,5.0625486739523595e-05
numhash,1.5240987805292312e-05
doubleslashinpath,1.2757434618160992e-06
httpsinhostname,0.0
imagesonlyinform,0.0
fakelinkinstatusbar,0.0
atsymbol,0.0
